SegmentName;ProductName;Brand
CASA, CONSTRUÇÃO E JARDINAGEM;CAIXA ORGANIZADORA PLASTICOM BR  3.0LT-311;
CASA, CONSTRUÇÃO E JARDINAGEM;CHAVE COMBINADA BESTFER CR.VAN 06MM BFH1199;
CASA, CONSTRUÇÃO E JARDINAGEM;CAIXA HIDROM.PADRAO.SABESP;
CASA, CONSTRUÇÃO E JARDINAGEM;PITAO BICROMATIZADO 19X50 (100PC=$18,00);
CASA, CONSTRUÇÃO E JARDINAGEM;TRANSFORMADOR KITEC 2000VA BIV;
CASA, CONSTRUÇÃO E JARDINAGEM;SERRA STARRETT BI-METAL 18D;
CASA, CONSTRUÇÃO E JARDINAGEM;PARAFUSO FRANCES C/PORCA 3/16 X 2.1/2;
CASA, CONSTRUÇÃO E JARDINAGEM;SPRAY SUPERCOLOR TEK METAL COBRE 350ML;
CASA, CONSTRUÇÃO E JARDINAGEM;ADPTADOR P/DISCO BORRACHA 1/4;
CASA, CONSTRUÇÃO E JARDINAGEM;CAIXA DESCARGA ASTRA CONTROLADA 6 ATE  9LTS;
CASA, CONSTRUÇÃO E JARDINAGEM;PRUMO ACO POLIDO RAMADA 400G 319058;
CASA, CONSTRUÇÃO E JARDINAGEM;"RODA CANAL FERRO GALV.EIXO 1""";
CASA, CONSTRUÇÃO E JARDINAGEM;GANCHO BICROMATIZADO 14X30 (100PC=$ 9,00);
CASA, CONSTRUÇÃO E JARDINAGEM;SISTEMA X ILUMI TOMADA TEL.PADRAO+MOD.;
CASA, CONSTRUÇÃO E JARDINAGEM;ABRACADEIRA NYLON THOMP PTA 3,6X250MM (PCT $18.OO);
CASA, CONSTRUÇÃO E JARDINAGEM;ROLETE ASTRA PAPEL HIGIENICO;
CASA, CONSTRUÇÃO E JARDINAGEM;LUVA MAO DANNY MALHA EMBORRACHADA CLEBER;
CASA, CONSTRUÇÃO E JARDINAGEM;VASELINA PASTA MORIA 440GR;
CASA, CONSTRUÇÃO E JARDINAGEM;PARAFUSO SEXT.R.SOBERBA 5/16X90 JOMARCA;
CASA, CONSTRUÇÃO E JARDINAGEM;VEDACIT RAPIDISSIMO OTTO 3,600L;
CASA, CONSTRUÇÃO E JARDINAGEM;CAIXA DESCARGA TIGRE 6L BRANCA;
CASA, CONSTRUÇÃO E JARDINAGEM;DISCO INOX MAKITA  4.1/2X3/64X7/8;
CASA, CONSTRUÇÃO E JARDINAGEM;BOTINA FALCONS S/ BICO N 43;
CASA, CONSTRUÇÃO E JARDINAGEM;CHAVE ESTRELA TRAMONTINA 12X13;
CASA, CONSTRUÇÃO E JARDINAGEM;FELTRO ADES OVERTAIME RED 3,5X3,5 8PC;
CASA, CONSTRUÇÃO E JARDINAGEM;PARAFUSO ASSENTO SANITARIO 379 HERC;
CASA, CONSTRUÇÃO E JARDINAGEM;CAPA CHUVA SOLDACAPA CALCA MOTOQUEIRO PT GG;
CASA, CONSTRUÇÃO E JARDINAGEM;TERMINAL PRE-ISOL ILHOS  1,50MM PT CT3607% CRIMPER;
CASA, CONSTRUÇÃO E JARDINAGEM;PARAFUSO R.MAQUINA FENDA JOMARCA 1/4 X 1.1/2;
CASA, CONSTRUÇÃO E JARDINAGEM;CHAVE WESTERN 10 BOCAS REF B10;
CASA, CONSTRUÇÃO E JARDINAGEM;BROCA VIDEA SDS/PLUS ROCAST 8X160;
CASA, CONSTRUÇÃO E JARDINAGEM;CHURRASQUEIRA BOTIJAO ABERTO ANDRE;
CASA, CONSTRUÇÃO E JARDINAGEM;GANCHO COMMAND DUPLA FACE 3M TRANS 900G REF530;
CASA, CONSTRUÇÃO E JARDINAGEM;PRIMER MAXI RUBBER HS PU 811;
CASA, CONSTRUÇÃO E JARDINAGEM;ESPACADOR FLEX 8MM;
CASA, CONSTRUÇÃO E JARDINAGEM;DISCO LIXA THOMPSON 07 GR 36;
CASA, CONSTRUÇÃO E JARDINAGEM;LIXA MASSA N100 NORTON;
CASA, CONSTRUÇÃO E JARDINAGEM;SERRA COPO BRASKOKI DIAMANTADA 35MM;
CASA, CONSTRUÇÃO E JARDINAGEM;HAMMERITE 2,4L BRANCO;
CASA, CONSTRUÇÃO E JARDINAGEM;MANTA ADES.VIAPOL FITA 15CM X 10M(ROLO $55,00);
CASA, CONSTRUÇÃO E JARDINAGEM;ESCOVA ROUPA BIG CABO PLAST ANATOMICA;
CASA, CONSTRUÇÃO E JARDINAGEM;REPARO TORNEIRA GM 401-0 BICA MOVEL MVS;
CASA, CONSTRUÇÃO E JARDINAGEM;ROLO ROMA P/ TEXTURA REF43310 10CM;
CASA, CONSTRUÇÃO E JARDINAGEM;CABO PA MINASUL PEGADOR METALICO;
